Feature,Importance
AVG_DELINQUENCY,0.2398228209239186
PAY_0,0.21271613991875268
MAX_DELINQUENCY,0.11765025934539741
DELINQUENCY_TREND,0.07679000409770896
PAY_2,0.0735822484894625
PAY_3,0.06909129156240353
BILL_VOLATILITY,0.05667686495609943
PAYMENT_RATIO,0.03971393839856907
LIMIT_PER_AGE,0.035294356425498774
CREDIT_UTILIZATION,0.026114651004709277
LIMIT_BAL,0.02457497907745416
AGE,0.006865978367328916
EDUCATION_5,0.002592372058878746
AGE_GROUP_Young_Adult,0.0020606087209926924
MARRIAGE_2,0.0019909338620037183
MARRIAGE_1,0.001968168249183569
EDUCATION_1,0.0019378924364477099
AGE_GROUP_Elderly,0.0016739712857556527
SEX_1,0.0016626113987285912
SEX_2,0.001172219737040001
EDUCATION_3,0.0011373851983499273
MARRIAGE_0,0.0011245557553359188
NEGATIVE_BILL_COUNT,0.0010433444564572681
AGE_GROUP_Middle,0.0009297680137921821
EDUCATION_2,0.0007689622464976701
MARRIAGE_3,0.00033716111274475965
AGE_GROUP_Young,0.0003058589569192395
AGE_GROUP_Senior,0.00026929837211621974
EDUCATION_4,0.00013135557145323759
EDUCATION_6,0.0
EDUCATION_0,0.0
